id,50000_units,5000_units,500_units,50_units,5_units
2278,972,180,90,45,9
2279,2000,350,75,25,15
2280,2000,250,75,20,10
2281,2000,300,200,150,125
2282,2000,400,80,20,3
2283,40000,4000,400,40,10
2284,500,200,100,50,10
2285,384.35,219.63,109.82,43.93,16.47
2286,500,100,25,8,4
2287,1098.15,439.26,164.72,43.93,27.45
2288,988.34,384.35,109.82,32.94,10.98
2289,900,400,200,50,20
2290,2500,750,250,50,30
2292,2000,600,204,117,35
2293,1500,250,100,25,20
2291,1500,300,150,25,10
2294,12331.75,3082.94,1233.17,431.61,184.98
2295,616.59,246.63,24.66,12.33,2.47
2296,1475,473,151,49,20
2297,500,300,240,50,15
2298,10000,1750,225,32,4
2299,2500,500,50,10,5
2300,13500,2500,450,120,50
2301,1233.17,431.61,123.32,61.66,30.83
2302,1000,500,100,50,25
2303,2500,250,85,55,25
2304,500,200,40,3,1
2305,5000,1500,400,50,10
2307,8000,1200,600,200,100
2306,200,125,24,5,1
2308,2000,250,50,15,3
2309,1500,150,75,50,20
2311,700,300,150,50,25
2310,7500,750,150,20,15
2312,400,80,25,15,5
2313,1000,500,250,100,10
2314,6165.87,616.59,98.65,61.66,37
2315,2000,650,150,50,25
2316,5000,500,150,75,25
2317,3000,505,55,30,10
2318,3500,500,250,150,100
2319,5995,450,100,30,5
2320,2196.3,878.52,164.72,32.94,16.47
2321,750,250,100,50,10
2322,1000,180,70,14,5
2323,500,250,25,20,15
2324,1000,400,250,100,10
2325,3000,500,200,50,30
2327,1000,500,200,75,60
2326,70,60,30,20,10
2328,20000,2000,149,49,25
2329,3000,300,175,150,40
2330,500,300,125,100,50
2331,700,175,45,25,15
2332,1690.03,169,40.56,6.76,1.35
2333,3082.94,616.59,246.63,92.49,61.66
2334,1000,250,100,50,25
2335,8000,1000,300,150,75
2336,2500,750,250,100,50
2337,1200,600,300,60,25
2338,1000,250,50,10,2
2339,2500,250,50,35,20
2340,1500,400,50,30,25
2341,67.6,27.04,13.52,6.76,3.38
2342,200,25,10,5,1
2343,3000,500,175,100,25
2344,20000,2500,400,100,20
2345,100,50,20,10,1
2346,9000,900,200,50,35
2347,2200,830,300,100,40
2348,6750,750,200,100,75
2349,2000,250,50,10,4
2350,180,18,3,2,1
2351,5000,1000,150,50,20
2352,5000,850,112,14,4
2353,2500,250,25,10,5
2355,16.18,2.26,1.29,0.65,0.49
2354,2500,1000,500,250,150
2356,3200,350,90,40,10
2357,850,450,168,90,48
2358,5250,450,100,25,10
2359,7000,2000,200,12,6
2360,2500,500,187,20,15
2361,10589.6,2117.92,352.99,70.6,14.12
2362,700,250,150,100,50
2363,1400,500,230,100,50
2364,445,100,30,10,3
2365,3294.45,1098.15,549.08,329.45,197.67
2366,500,50,25,5,1
2367,1500,280,60,13,3
2368,4000,400,150,30,12
2369,5,4,3,2,1
2370,1000,40,20,10,5
2371,1000,600,300,40,20
2372,1098.15,439.26,164.72,27.45,5.49
2373,2000,700,200,190,30
2374,2000,1000,175,100,35
2375,1000,500,150,60,30
2376,25000,3000,650,80,15
2377,15000,500,100,16,6
2378,1233.17,616.59,123.32,73.99,37
2379,1647.23,384.35,54.91,38.44,21.96
2380,120,70,50,30,5
2381,1000,500,300,120,45
2382,2000,1000,500,200,50
2383,329.45,131.78,65.89,32.94,16.47
2384,5000,500,100,50,25
2385,4000,250,40,10,5
2386,2500,750,250,50,25
2387,17500,1000,60,6,1
2388,4000,600,120,60,15
2389,3500,700,300,200,100
2390,5000,1250,250,50,10
2391,7950,1500,250,25,3
2392,10000,1000,600,400,250
2393,1400,175,125,75,35
2394,10981.5,1427.6,164.72,32.94,10.98
2395,2490,365,45,19,2
2396,750,500,100,75,20
2397,4000,600,300,150,75
2398,1848.53,492.04,147.98,49.33,18.5
2399,2500,1200,700,200,30
2400,369.95,246.63,123.32,73.99,37
2401,8000,1500,250,50,10
2402,6000,700,80,9,1
2403,1500,700,250,150,25
2404,10981.5,1098.15,494.17,384.35,329.45
2405,150,100,75,50,35
2406,863.22,110.99,49.33,12.33,3.7
2407,2000,300,90,60,25
2408,4400,450,50,6,4
2409,900,250,50,5,1
2410,650,50,15,6,2
2411,493.27,123.32,43.16,12.33,6.17
2412,2500,500,100,10,5
2413,100,70,20,8,5
2414,1000,450,100,25,5
2415,3156.62,1578.31,599.76,189.4,63.13
2416,1098.15,878.52,439.26,329.45,274.54
2417,500,150,30,8,1
2418,4500,600,60,20,3
2419,3000,750,100,30,10
2420,500,260,40,12,4
2421,3000,500,90,15,2
2422,16900.26,1690.03,169,33.8,16.9
2423,1000,400,125,65,35
2424,10550,1600,250,200,180
2425,1400,225,49,14,2
2426,500,200,75,25,1
2427,2000,800,250,100,50
2428,3000,500,150,50,20
2429,7500,1250,750,250,100
2430,525,75,30,25,5
2431,308.29,184.98,123.32,86.32,61.66
2432,1000,125,50,20,10
2433,1000,250,100,20,5
2434,150,100,75,50,35
2435,500,250,75,25,10
2436,1000,250,100,50,40
2437,600,300,75,40,5
2439,30000,3500,300,150,100
2438,1750,750,200,100,50
2441,1500,500,250,150,75
2442,450,140,45,15,4
2440,1356.49,308.29,234.3,123.32,98.65
2443,2500,750,200,100,50
2445,1500,250,75,20,5
2446,1500,250,50,25,10
2447,3000,600,175,120,80
2444,549.08,274.54,54.91,32.94,16.47
2448,5000,1200,350,120,45
2449,1647.23,658.89,329.45,274.54,109.82
2450,1500,600,300,200,70
2451,20000,500,75,10,5
2452,250,150,75,50,20
2453,16472.26,2361.02,384.35,76.87,10.98
2454,800,500,250,50,15
2455,400,220,100,50,30
2456,2196.3,878.52,439.26,54.91,8.79
2457,3500,700,300,75,25
2458,1300,450,180,70,20
2459,1000,100,25,15,5
2460,5000,1000,350,100,50
2461,713.8,274.54,137.27,87.85,21.96
2462,12.71,7.63,5.09,2.54,0.25
2463,18000,1900,200,40,12
2464,1000,125,60,40,20
2465,1000,350,200,150,15
2466,3500,800,145,25,3
2467,6160.36,739.24,123.21,49.28,24.64
2468,200,70,18,8,3
2469,10000,1000,102,10,1
2470,5000,1000,300,100,10
2471,2600,500,250,160,14
2472,616.59,295.96,147.98,49.33,24.66
2473,5000,250,50,10,5
2474,2500,250,35,5,1
2475,2500,1200,140,80,25
2476,3000,680,150,35,10
2477,1000,900,175,65,40
2478,3000,800,100,20,10
2479,5490.75,549.08,164.72,54.91,10.98
2480,6000,500,150,50,20
2481,332.6,102.34,46.05,15.35,2.56
2482,10000,1500,1000,500,200
2483,500,250,100,20,1
2484,10000,5000,500,100,50
2485,2253.68,751.23,150.25,18.78,3.76
2486,37000,3750,375,100,50
2487,5000,1250,100,25,12
2488,3500,1500,350,80,10
2489,1500,500,125,55,25
2490,3000,300,160,35,20
2491,7500,700,150,60,10
2492,90,75,50,35,20
2493,8000,1500,200,25,15
2494,3300,500,150,40,25
2495,1500,500,200,100,50
2496,5000,1000,200,45,4
2497,3000,250,25,2,1
2498,700,250,150,70,25
2499,2000,500,100,50,20
2500,1300,350,200,75,30
2501,500,75,45,20,15
2502,1250,399,195,125,50
2503,5500,900,290,40,35
2504,1000,300,150,50,20
2505,6313.24,631.32,220.96,47.35,44.19
2506,450,90,25,10,3
