id,50000_units,5000_units,500_units,50_units,5_units
990,10000,1000,100,10,1
991,2500,500,100,50,25
992,1900,450,220,80,45
993,5500,600,150,50,20
994,4000,700,350,150,50
995,2415.93,439.26,65.89,32.94,10.98
996,2500,1000,250,100,50
997,3700,400,70,30,20
999,12000,2000,300,45,15
998,10000,2000,500,100,25
1000,2000,500,100,25,10
1001,2500,1250,250,50,20
1002,300,100,50,5,2
1003,5000,1500,200,25,5
1004,5000,1300,150,20,5
1005,500,250,150,30,10
1006,5000,3000,1000,250,75
1008,8000,1000,150,20,5
1009,7500,500,100,15,2
1010,750,400,100,30,5
1011,7000,3000,1000,500,250
1012,3500,500,250,50,15
1013,1250,175,25,20,10
1007,2000,700,200,15,10
1014,3500,375,220,45,25
1015,2500,500,125,25,5
1016,12500,1250,125,15,1
1017,20000,1500,450,55,50
1018,5000,4000,1000,150,25
1019,3000,350,150,100,50
1020,1050,100,50,40,30
1021,1250,250,25,5,4
1022,8000,4000,1000,300,100
1023,405.61,236.6,169,101.4,20.28
1024,10300,1250,125,20,3
1025,90,50,40,38,30
1026,500,200,50,20,10
1027,3500,500,100,20,15
1028,500,75,15,5,1
1029,4000,1000,200,100,50
1030,2343.03,739.9,369.95,86.32,24.66
1031,12500,1000,200,25,10
1032,8500,1000,150,30,10
1033,70000,7900,800,85,30
1034,600,200,50,15,4
1035,9000,1500,200,30,5
1036,1200,800,200,150,80
1037,1000,500,200,100,5
1038,3000,400,90,16,3
1039,500,300,150,80,20
1040,1250,250,50,10,2
1041,4000,600,150,18,3
1042,2500,750,350,50,25
1043,2000,350,50,20,10
1044,500,100,50,15,10
1045,1878.07,187.81,15.02,3.76,2.25
1046,2500,350,40,20,18
1047,180,120,90,60,50
1048,6000,1000,200,150,50
1049,300,100,50,25,10
1050,1220,200,40,10,5
1051,280,150,100,50,30
1052,5500,670,70,40,20
1053,1500,850,250,160,80
1054,4392.6,713.8,373.37,164.72,76.87
1055,400,75,25,10,2
1056,200000,20000,2000,200,20
1057,750,250,100,50,25
1058,3294.45,439.26,186.69,131.78,54.91
1059,275,125,45,15,5
1060,1800,550,200,80,30
1061,921.05,573.04,143.22,71.59,35.77
1062,500,200,100,50,25
1063,1500,700,400,150,38
1064,9000,400,75,15,5
1065,800,200,100,60,30
1066,2250,675,200,75,40
1067,10000,1000,350,100,50
1068,1500,350,100,50,10
1069,10000,1500,250,50,10
1070,739.9,98.65,19.73,12.33,7.4
1071,2196.3,1098.15,549.08,109.82,43.93
1072,3000,340,40,15,5
1073,3990,550,95,55,45
1074,1535.08,767.54,511.69,307.02,204.68
1075,7500,1250,750,150,125
1076,2500,500,50,25,5
1077,3294.45,658.89,219.63,82.36,54.91
1078,250,75,25,15,12
1079,500,100,50,40,20
1080,60,25,12,5,3
1081,2000,300,100,40,20
1082,12700,2000,250,30,5
1083,3000,250,50,10,5
1084,3250,275,99,40,20
1085,900,150,30,15,10
1087,10000,1000,100,15,7
1086,1000,350,250,60,20
1088,2000,1000,150,10,1
1090,1023.39,767.54,76.75,25.58,10.23
1089,1184,800,300,175,50
1091,2500,500,100,50,30
1092,7500,750,400,250,100
1093,10000,800,150,15,5
1094,1500,550,250,80,25
1095,5000,2500,300,100,50
1096,5000,750,450,150,75
1097,700,100,23,7,5
1098,5000,1000,250,50,15
1099,3600,1000,250,150,100
1100,17000,900,100,15,5
1101,2000,250,100,25,15
1102,500,300,50,10,1
1104,200,150,80,20,5
1103,10000,3500,500,250,100
1105,2000,1000,300,120,35
1106,4932.7,986.54,221.97,61.66,24.66
1107,1000,100,25,5,1
1108,10000,2000,300,250,200
1109,1750,175,25,5,1
1110,5000,750,150,36,35
1111,10000,1000,100,10,1
1112,11550,2100,400,250,100
1113,1398.42,776.9,144.28,44.39,22.2
1114,3300,325,100,35,15
1115,1500,600,200,150,50
1116,1317.78,219.63,32.94,21.96,16.47
1117,1250,250,100,50,10
1118,4000,400,40,4,2
1119,400,70,30,15,7
1120,5000,1000,100,50,25
1121,25000,2500,250,100,50
1122,11000,1500,350,75,15
1123,2253.68,751.23,225.37,56.34,37.56
1124,700,100,75,50,40
1125,550,250,50,10,7
1126,750,100,20,10,2
1127,6000,3000,500,250,200
1128,800,180,60,45,30
1129,2500,250,38,17,6
1130,2000,320,80,32,18
1131,768.71,549.08,274.54,219.63,164.72
1132,1.21,1.01,0.6,0.08,0.01
1133,5000,500,100,50,20
1134,3000,350,40,4,2
1135,2000,350,50,5,1
1136,1500,200,100,50,35
1137,3040,460,150,149,140
1138,3000,400,150,75,15
1139,8000,1500,350,250,150
1140,900,500,100,70,5
1141,1000,500,100,50,10
1142,1000,200,50,25,5
1143,5000,500,250,25,5
1144,2000,1000,150,25,5
1145,1800,420,70,15,8
1146,1479.81,493.27,184.98,73.99,37
1147,2500,350,130,40,15
1148,5000,500,150,50,49
1149,1000,400,100,25,5
1150,1200,600,300,150,100
1151,1500,250,48,10,2
1152,1000,80,50,40,35
1153,4500,450,150,45,7
1154,300,120,60,40,25
1155,1000,700,400,150,50
1156,25000,2500,500,80,10
1157,110,100,50,35,12
1158,13,10,5,4,3
1159,250,100,75,30,20
1160,900,120,30,15,6
1161,50,25,20,10,5
1162,1416.61,472.2,142.76,54.91,10.98
1163,350,125,50,25,15
1164,100,50,30,15,6
1165,3000,1500,250,50,10
1166,200,150,100,50,30
1167,2500,500,75,10,5
1168,5200,650,450,175,50
1169,3000,350,150,50,40
1170,1280.47,640.24,298.78,213.41,85.36
1171,450,100,80,20,10
1172,5490.75,1098.15,329.45,109.82,54.91
1173,1800,300,200,150,120
1174,4500,400,60,15,3
1175,1500,500,250,100,50
1176,500,150,50,15,5
1177,2000,750,350,250,200
1178,3000,500,120,65,40
1179,1000,300,80,40,10
1180,1000,150,50,20,10
1181,990,336,111,30,7
1182,5490.75,549.08,109.82,32.94,5.49
1183,2000,1500,600,150,15
1184,1000,400,250,150,100
1185,15000,2000,1200,600,300
1186,1000,105,35,19,10
1187,658.89,422.79,126.29,32.94,27.45
1188,6600,660,200,100,50
1189,1000,300,200,150,75
1190,1300,250,75,15,4
1191,850,250,75,47,33
1192,1000,200,50,10,2
1193,600,100,25,20,10
1194,9300,900,90,9,2
1195,17500,1750,175,50,35
1196,500,200,100,50,25
1197,1098.15,219.63,82.36,27.45,10.98
1198,5000,500,250,100,50
1199,1100,750,500,150,50
1200,1500,250,75,25,20
1201,2500,280,35,15,6
1202,1100,200,100,50,25
1203,10000,1000,250,100,50
1204,550,250,150,50,10
1205,6700,900,166,22,14
1206,2100,350,150,25,10
1207,2745.38,549.08,109.82,27.45,5.49
1208,3000,300,20,10,5
1209,1500,500,50,25,10
1210,775,275,45,10,5
1211,2250,250,20,10,5
1212,800,250,90,50,15
1213,3500,600,75,25,15
1214,550,275,65,20,9
1215,2000,200,20,19,18
1216,2500,350,150,100,50
1217,1000,180,80,50,10
1218,5000,1000,300,40,5
1219,1250,450,65,12,2
1220,55000,4500,450,50,10
1221,15000,480,160,62,30
1222,1500,250,50,10,5
1223,500,20,5,2,1
1224,2500,275,75,25,10
1225,9000,1000,200,40,5
1226,13176.71,2634.46,383.25,273.44,164.72
1227,2500,300,60,10,3
1229,4500,1000,500,350,100
1230,2500,300,100,25,5
1228,7500,100,75,50,15
1231,2000,350,50,30,25
1232,1400.04,525.02,262.51,175.01,140
1233,1050,250,100,65,50
1234,2219.71,357.62,55.49,18.5,7.4
1235,2745.38,549.08,175.7,131.78,60.4
1236,10000,1000,100,10,1
1237,1647.23,658.89,274.54,60.4,54.91
1238,20,10,5,2,1
1239,1250,150,40,15,5
1241,3000,400,100,50,15
1240,878.52,329.45,164.72,21.96,10.98
1242,878.52,658.89,274.54,219.63,218.53
1244,10000,3000,400,50,40
1243,8895.02,933.43,109.82,54.91,43.93
1246,4250,425,75,40,20
1245,1063,106,15,5,2
1247,15000,1500,150,15,5
1249,5000,2500,250,50,25
1248,2000,200,60,40,30
1250,3000,750,500,250,200
1251,2500,500,80,40,20
1252,1500,150,25,15,10
1253,5000,800,90,10,5
1254,5500,1000,300,100,25
1255,600,300,95,60,10
1256,400,55,30,20,10
1257,5000,400,200,50,5
1258,1000,575,125,25,5
1259,2500,750,100,25,15
1260,4500,750,300,250,200
1261,5000,749,74,24,12
1262,800,450,125,75,15
1263,6000,2500,250,100,30
1264,300,100,30,20,10
1265,50000,2500,500,300,100
1266,8000,1500,300,40,10
1267,1233.17,246.63,61.66,24.66,12.33
1268,3500,550,150,85,50
1269,549.08,384.35,82.36,32.94,10.98
1270,4000,400,200,80,20
1271,616.59,246.63,92.49,61.66,6.17
1272,1800,200,75,60,50
1273,2500,1650,650,150,50
1274,1400,500,175,45,5
1275,500,50,25,15,5
1276,6588.9,878.52,175.7,21.96,3.29
1277,700,300,75,25,10
1278,3999.46,540.29,197.67,148.25,49.42
1279,2500,450,250,75,10
1280,1225.04,262.51,52.5,17.5,8.75
1281,1497,175,49,34,25
1282,2500,1000,400,150,50
1283,1690.03,236.6,118.3,33.8,6.76
1284,3051.38,381.42,127.14,50.86,25.43
1285,2500,500,150,30,25
1286,550,250,150,100,80
1287,4500,500,75,40,20
1288,1500,400,200,150,100
1289,3294.45,547.98,93.34,43.93,27.45
1290,3000,400,200,50,10
1291,750,200,75,25,15
1292,4000,500,200,25,5
1293,2000,350,250,170,70
1294,878.52,329.45,109.82,32.94,10.98
1295,2000,500,100,40,10
1296,8000,1000,500,251,200
1297,6000,600,60,6,3
1298,5000,1000,500,300,100
1299,1500,450,250,100,50
1300,1895,255,130,30,11
1301,3000,380,150,40,10
1302,100,50,25,10,5
1303,900,200,25,10,5
1304,5490.75,549.08,329.45,274.54,164.72
1305,246.63,123.32,61.66,37,12.33
1306,5000,1000,350,250,100
1307,3000,520,390,120,20
1308,2500,250,25,10,5
1309,2500,300,50,15,5
1310,500,50,25,15,5
1311,10000,1000,150,100,50
1312,2000,350,120,115,110
1313,3000,1000,350,300,200
1314,1200,400,75,20,10
1315,150000,15000,1500,150,15
1316,50000,5000,500,50,10
1317,2500,350,150,100,50
1318,1500,350,90,50,5
1319,500,250,100,50,20
1320,10000,1650,270,44,5
1321,988.34,439.26,274.54,87.85,54.91
1322,351.41,175.7,87.85,43.93,21.96
1323,1300,350,150,40,10
1324,1000,150,75,25,20
1325,3500,500,150,75,30
1326,109815.05,10981.5,1098.15,109.82,10.98
1327,2500,500,100,20,3
1328,6165.87,739.9,92.49,18.5,6.17
1329,2500,350,120,30,15
1330,2280,525,200,50,15
1331,340,220,150,45,20
1332,4000,1000,90,30,15
1333,3500,650,245,48,20
1334,600,125,25,5,2
1335,200,100,40,7,3
1336,500,300,100,30,10
1337,450,300,250,150,90
1338,5000,1500,200,20,5
1339,2000,999,250,25,10
1340,420,280,120,90,30
1341,4000,900,250,75,50
1342,3843.53,1098.15,274.54,54.91,49.42
1343,2000,350,150,35,10
1344,50,40,30,20,5
1345,8000,3000,300,50,5
1346,10000,5000,500,50,10
1347,5000,1000,500,200,20
1348,3500,750,250,35,15
1349,1017,230,50,24,14
1350,600,300,150,100,50
1351,4000,550,360,192,100
1352,3000,300,100,15,3
1353,2000,250,50,10,5
1354,1000,115,37,36,35
1355,2000,200,25,5,2
1356,665,199,60,17,10
1357,3082.94,616.59,246.63,123.32,30.83
1358,9000,3000,1200,400,150
1359,6000,1800,400,120,30
1360,550,170,90,36,9
1361,1294.04,161.75,97.05,48.53,32.35
1362,1000,100,25,10,5
1363,300,100,15,8,1
1364,3294.45,329.45,27.45,5.49,3.29
1365,2040,250,60,50,30
1366,1255,205,95,25,15
1367,3600,450,250,50,20
1368,1000,500,100,15,5
1369,12500,1250,125,25,10
1370,10000,4000,500,200,150
1371,5000,1000,150,10,2
1372,300,40,7,3,1
1373,5000,800,250,50,20
1374,40000,4000,400,75,25
1375,17000,1890,220,30,10
1376,100,40,4,2,1
1377,1500,100,30,15,10
1378,400,350,200,175,25
1380,7500,1250,500,200,100
1379,11000,1300,1130,15,1
1381,10000,1400,150,20,18
1382,350,160,60,20,10
1383,500,100,10,5,1
1384,1500,500,200,75,25
1386,1500,500,200,50,10
1385,4000,750,200,100,50
1388,6165.87,1109.86,123.32,12.33,1.23
1387,745,155,65,35,18
1389,1800,350,75,15,6
1390,600,250,50,20,10
1393,7000,1700,270,60,15
1391,875,149,24,3,1
1394,17500,2410,342,40,15
1392,788.28,320.09,61.36,51.5,49.04
1395,2000,750,140,40,25
1397,350,200,50,10,5
1398,1000,500,100,50,25
1399,5000,1000,100,20,10
1396,415,108,58,33,20
1400,500,250,150,50,15
1401,2300,550,250,150,100
1402,4200,750,139,29,11
1403,3294.45,768.71,87.85,21.96,10.98
1404,600,100,50,10,4
1405,3000,775,200,100,25
1406,600,110,50,30,10
1408,600,60,30,15,10
1407,5000,1500,500,100,50
1409,10000,400,20,3,2
1410,1250,125,50,30,20
1411,1352.02,456.31,152.1,33.8,10.14
1412,100,50,20,15,5
1413,850,200,100,60,20
1414,8236.13,329.45,21.96,10.98,5.49
1415,10000,500,250,50,30
1417,2000,150,50,20,5
1418,50,25,20,10,5
1419,1500,150,40,15,7
1416,1000,800,300,40,20
1420,1500,350,250,150,75
1421,7000,2300,380,53,15
1422,10000,1000,100,30,15
1423,6588.9,823.61,164.72,137.27,109.82
1424,10000,500,250,50,10
1425,5000,1000,100,10,1
1426,2500,500,200,80,25
1428,2745.38,549.08,164.72,43.93,21.96
1429,25000,2500,248,25,10
1430,3843.53,713.8,274.54,164.72,87.85
1427,1098.15,109.82,54.91,27.45,5.49
1431,878.52,439.26,384.35,274.54,82.36
1432,20000,2000,200,20,15
1433,3000,300,55,30,20
1435,13750,1500,150,75,50
1434,8000,1000,250,75,25
1436,1647.23,329.45,164.72,109.82,54.91
1437,3000,500,100,20,10
1438,4941.68,713.8,219.63,192.18,137.27
1440,500,100,30,10,5
1439,300,150,40,10,2
1441,800,300,70,27,6
1442,4000,3000,2900,500,50
1443,5000,1000,300,50,25
1444,5000,500,100,75,50
1445,2000,400,100,60,3
1446,1647.23,823.61,329.45,137.27,32.94
1447,5000,800,200,40,10
1448,4000,500,250,75,25
1449,4000,700,150,60,40
1450,8000,1200,400,250,50
1451,2000,200,150,45,15
1452,300,200,100,25,15
1453,700,300,45,25,5
1454,5000,900,350,300,200
1455,1000,200,25,20,15
1456,2000,350,45,15,2
1457,2000,1200,450,100,50
1458,2300,600,225,115,75
1459,1647.23,439.26,32.94,21.96,16.47
1460,1000,200,50,20,10
1461,1500,550,250,75,25
1462,10102.98,1054.22,252.57,104.32,65.89
1463,1757.04,878.52,142.76,54.91,21.96
1464,550,350,200,75,25
1465,3500,350,50,5,1
1466,2639,300,85,45,30
1467,1849.76,493.27,123.32,61.66,30.83
1468,5000,450,200,20,10
1469,800,300,100,20,5
1470,200,175,75,25,2
1471,2500,1000,300,150,50
1472,2300,500,250,50,15
1473,9883.35,1976.67,1120.11,197.67,65.89
1474,800,350,200,35,5
1475,300,200,150,100,50
1476,4316.11,468.61,98.65,37,18.5
1477,11000,1700,270,70,50
1478,850,800,700,40,10
1479,750,150,75,50,15
1480,500,250,150,50,15
1481,700,250,150,20,2
1482,964.98,482.49,253.94,111.73,76.18
1483,2750,425,75,25,5
1484,2500,250,100,50,10
1485,750,425,100,50,20
1486,3600,600,400,150,75
1487,2196.3,768.71,219.63,49.42,21.96
1488,200,100,40,5,1
1489,1000,200,50,25,20
1490,200,100,50,30,10
1491,1000,100,50,49,48
1492,5000,500,50,5,1
1493,2000,300,90,40,25
1494,5500,574,48,10,5
1495,1647.23,549.08,82.36,21.96,5.49
1496,250,50,25,15,10
1497,2800,450,80,21,7
1498,75,30,20,5,1
1499,100,25,10,5,2
1500,461.22,373.37,285.52,153.74,65.89
1501,10000,1000,100,10,5
1502,100,30,20,10,5
1503,4750,475,50,45,40
1504,5000,300,150,30,15
1505,1849.76,616.59,184.98,61.66,24.66
1506,1000,150,90,50,25
1507,823.61,417.3,263.56,208.65,108.72
1508,3843.53,549.08,98.83,21.96,5.49
1509,1000,600,400,200,150
1510,1000,175,25,4,1
1511,4600,650,75,45,25
1512,352,243,101,46,20
1513,10000,1250,150,20,5
1514,6000,2200,350,40,10
1515,2500,495,135,15,4
1516,1279.23,639.62,127.92,25.58,12.79
1517,3000,700,150,40,20
1518,2000,250,50,25,15
1519,10000,1700,270,41,5
1520,1000,300,200,100,30
1521,1500,100,50,25,5
1522,6588.9,988.34,76.87,8.79,4.39
1523,2000,200,150,100,50
1524,1150,400,150,35,14
1525,4200,1250,350,60,5
1526,7500,750,400,300,250
1527,2704.04,304.2,33.8,6.76,3.38
1529,2000,200,15,5,1
1530,5000,700,300,140,10
1528,1500,200,100,60,50
1531,400,200,75,15,10
1533,3000,800,300,100,75
1534,1000,250,25,10,5
1535,4400,1000,200,40,15
1532,3000,500,180,130,100
1536,1200,400,130,40,10
1537,7500,850,200,45,25
1538,2100,400,120,20,5
1539,9250,900,100,15,2
1540,3900,749,149,89,49
1541,7500,1000,100,10,1
1542,1098.15,549.08,329.45,219.63,164.72
1543,3500,700,200,35,10
1544,2000,120,50,40,10
1545,9300,1000,420,370,320
1546,800,300,100,50,25
1547,4000,600,400,250,130
1548,4392.6,768.71,274.54,219.63,164.72
1549,5000,2500,400,175,25
1550,350,200,150,70,40
1551,2000,415,165,99,25
1552,1000,300,125,50,25
1553,1600,500,200,100,50
1554,900,100,50,20,5
1555,550,200,100,35,10
1556,6165.87,616.59,61.66,12.33,6.17
1557,225,75,50,25,15
1558,1200,300,250,200,100
1559,10000,1250,350,150,50
1561,5000,1250,250,50,20
1560,700,400,250,150,50
1562,700,300,100,25,15
1563,9248.81,986.54,123.32,18.5,6.17
1564,880,275,45,9,2
1566,4500,900,160,50,30
1565,3500,750,150,50,15
1567,2600,495,87,12,7
1568,6000,800,170,20,10
1569,1800,500,80,50,5
1570,10000,3000,1000,300,125
1571,5490.75,549.08,274.54,164.72,131.78
1572,2100,400,260,40,20
1573,7000,500,150,30,15
1574,5000,1000,200,25,20
1575,500,200,75,30,15
1576,4500,900,300,150,50
1577,2100,400,260,40,20
1578,4000,500,250,25,10
1579,300,200,150,75,25
1580,1500,500,225,40,10
1581,1000,400,150,50,10
1582,1233.17,308.29,61.66,12.33,6.17
1583,900,350,45,5,1
1584,700,150,75,15,2
1585,400,200,150,75,25
1586,4000,500,175,50,35
1587,5000,1000,400,300,25
1588,300,50,10,5,1
1589,400,200,30,10,5
1590,3600,525,275,150,80
1591,1000,500,250,100,5
1592,475,115,40,18,10
1593,2000,750,300,200,50
1594,2000,250,50,15,5
1595,1500,750,200,75,50
1596,750,250,75,25,5
1597,4000,550,96,6,5
1598,2500,500,90,15,3
1599,3800,1300,500,300,80
1600,1098.15,384.35,219.63,98.83,43.93
1601,1300,230,70,20,16
1602,1000,150,50,15,10
1603,2000,200,25,12,10
1604,2500,1000,400,150,50
1605,3843.53,713.8,109.82,54.91,32.94
1606,6250,1250,250,50,25
1607,2000,400,200,140,90
1608,2219.71,826.23,184.98,49.33,6.17
1609,2745.38,658.89,164.72,54.91,16.47
1610,900,300,50,15,5
1611,1000,250,80,20,10
1612,1500,500,300,100,80
1613,300,60,30,15,3
1614,246.41,98.57,73.92,36.96,12.32
1615,1500,300,150,25,5
1616,2855.19,636.93,219.63,32.94,13.18
1617,2500,350,100,20,3
1618,650,75,55,35,20
1619,1000,100,25,10,5
1620,8000,900,100,15,10
1621,5000,500,100,45,35
1622,3843.53,549.08,274.54,109.82,54.91
1623,1300,350,155,101,51
1624,10157.71,5078.85,1523.66,507.89,101.58
1625,4000,500,200,100,50
1626,3500,2000,250,25,15
1627,4932.7,616.59,184.98,61.66,24.66
1628,2500,500,100,40,25
1629,3294.45,878.52,175.7,32.94,10.98
1630,2600,450,125,25,20
1631,5000,500,50,5,1
1632,5200,1000,200,40,10
1633,10000,1000,200,80,60
1634,1000,100,10,8,5
1635,2000,600,120,70,40
1636,3699.52,739.9,123.32,30.83,12.33
1637,500,350,250,150,100
1638,10000,625,75,10,5
1639,1999,198,99,34,21
1640,500,100,20,10,5
1641,3000,580,80,15,5
1642,1000,500,250,100,10
1643,878.52,274.54,87.85,21.96,5.49
1644,6600,2000,425,85,25
1645,450,200,75,40,20
1646,8500,900,105,12,2
1647,1403.76,374.34,140.38,93.58,46.79
1648,6000,500,55,30,20
1649,3000,1500,800,200,100
1650,1757.04,494.17,219.63,43.93,21.96
1651,2000,350,100,40,25
1652,6165.87,801.56,191.14,187.44,184.98
1653,1000,500,100,50,20
1654,500,50,10,5,3
1655,1098.15,301.99,164.72,43.93,16.47
1656,500,100,25,5,1
1657,11268.4,262.93,187.81,18.78,1.5
1658,8000,1000,250,25,5
1659,2500,500,250,50,10
1660,6000,1200,120,16,12
1661,1200,460,58,14,3
1662,300,150,75,50,25
1663,4392.6,658.89,219.63,109.82,27.45
1664,103.55,51.78,31.07,20.71,10.36
1665,840,315,63,10,1
1666,700,180,60,12,3
1667,1000,200,60,10,5
1668,5000,500,50,25,20
1669,12500,1500,415,225,100
1670,5000,600,150,75,40
1671,6500,2000,300,250,100
1672,350,100,50,20,6
1673,500,175,20,10,5
1674,120,60,40,30,10
1675,5000,750,200,75,25
1676,50,15,10,5,1
1677,10000,1000,250,100,20
